endTime,artistName,trackName,msPlayed
2024-05-30 17:25,Yours lo-fi,Mann Mohi Gayu Lo-Fi Remake,1207
2024-05-30 17:26,Javed-Mohsin,Pal,1137
2024-05-30 17:28,Sachet-Parampara,"Ram Siya Ram (From ""Adipurush"")",1857
2024-05-30 17:28,Javed-Mohsin,Pal,882
2024-05-30 17:28,Yours lo-fi,Mann Mohi Gayu Lo-Fi Remake,125178
2024-05-30 17:31,One Direction,Night Changes,226600
2024-05-30 17:32,Shankar Mahadevan,Tere Naina,998
2024-05-30 17:32,A.R. Rahman,Tu Hai,1021
2024-05-30 17:32,Rahat Fateh Ali Khan,"Tere Bin (From ""Simmba"")",2066
2024-05-30 17:32,Pritam,Abhi Kuch Dino Se,952
2024-05-30 17:32,AP Dhillon,With You,5758
2024-05-30 17:32,Namita Choudhary,Chaap Tilak,5889
2024-05-30 17:32,Atif Aslam,Pehli Dafa,719
2024-05-30 17:36,Christina Perri,A Thousand Years (feat. Steve Kazee) - Pt. 2; The Twilight Saga: Breaking Dawn Soundtrack,229784
2024-05-31 07:46,Shafqat Amanat Ali,Darmiyaan,895
2024-05-31 07:46,Mohit Chauhan,Masakali,746
2024-05-31 07:46,Christina Perri,A Thousand Years (feat. Steve Kazee) - Pt. 2; The Twilight Saga: Breaking Dawn Soundtrack,52118
2024-05-31 07:46,Akanksha Bhandari,Pehli Baarish,1045
2024-05-31 07:46,Pritam,"Ve Kamleya (Redux) (From ""Rocky Aur Rani Kii Prem Kahaani"")",746
2024-05-31 07:50,Namita Choudhary,Ae Re Sakhi,1706
2024-05-31 07:50,Amit Trivedi,Shubhaarambh,725
2024-05-31 07:50,Taylor Swift,Love Story,232960
2024-05-31 07:51,Shankar-Ehsaan-Loy,O Rangrez,746
2024-05-31 07:51,Ajit Kale,Tere Laag,79871
2024-05-31 07:51,Ed Sheeran,Perfect,1301
2024-05-31 15:44,Pritam,Tujhko Jo Paaya,743
2024-05-31 15:44,Silent Ocean,Raanjhanaa - Lofi Flip,3274
2024-05-31 15:44,Anirudh Ravichander,Chaleya,975
2024-05-31 15:44,Samyak Prasana,Aahatein,83861
2024-05-31 15:44,Aditya A,Heeriye,162
2024-05-31 15:44,Ritviz,Baaraat,603
2024-05-31 15:48,Ritviz,Baaraat,222096
2024-05-31 15:50,Anirudh Ravichander,Chaleya,165734
2024-05-31 15:51,A.R. Rahman,Raanjhanaa,905
2024-05-31 15:51,Vishal-Shekhar,Dil Diyan Gallan - LoFi Mix,2414
2024-05-31 15:51,Arjun Kanungo,Zara Zara - MTV Unwind,1253
2024-05-31 15:51,Pritam,Hardum Humdum (Film Version),835
